,name,artist,track_id,danceability,energy,loudness,acousticness,valence
115,Electric Love,BØRNS,2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,-7.627,0.00543,0.518
116,Thief,Ookay,5Ce9z7GqSknXccyppRxNLY,0.57,0.797,-2.954,0.00476,0.212
117,Show Me The Way,Penguin Prison,2AVL6hxC2kgvGb3CFKiqWJ,0.772,0.687,-6.451,0.122,0.843
118,UCLA,RL Grime,3OaunNUlXXs5e2PXtNAzzG,0.536,0.879,-3.019,0.0742,0.334
119,Hurt Feelings,Mac Miller,5p7GiBZNL1afJJDUrOA6C8,0.69,0.462,-8.054,0.343,0.325
120,Be Together - Vanic Remix,Major Lazer,2GTqKxuBr7LKhEpRtR38tm,0.331,0.82,-3.264,0.0188,0.275
121,"I Do It (ft. Big Sean, Lil Baby)",Lil Wayne,1bRO28yzxgO3y3UmNR29TZ,0.804,0.528,-3.231,0.125,0.321
122,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,733c1CWmIGymoQXdp7Us88,0.819,0.654,-6.665,0.517,0.455
123,Blueberry Faygo,Lil Mosey,6wJYhPfqk3KGhHRG76WzOh,0.774,0.554,-7.909,0.207,0.349
124,Vagabond,Wolfmother,0V5b2pTxulwbWygiF1NjDL,0.494,0.74,-6.646,0.457,0.337
125,I'm Just a Kid,Simple Plan,6otiaV2fagE3s8IvP6WkwG,0.527,0.834,-5.531,0.00107,0.422
126,New Patek,Lil Uzi Vert,0Fpen1PTuEnCmOJtUU9Iud,0.85,0.785,-4.963,0.0367,0.718
127,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,-5.884,0.0687,0.425
128,Heartless (feat. Mustard),Polo G,028JxheELfIvvY4zBXuMjw,0.776,0.64,-8.058,0.15,0.326
129,Sweet Disposition,The Temper Trap,5RoIXwyTCdyUjpMMkk4uPd,0.531,0.821,-6.812,0.0701,0.34
130,Leave Me (feat. Marc E. Bassy),Skizzy Mars,7gNRYLOwgmzMEpgXARSnX9,0.696,0.729,-3.779,0.046,0.555
131,In The Air Tonight - 2015 Remastered,Phil Collins,18AXbzPzBS8Y3AkgSxzJPb,0.446,0.239,-13.945,0.551,0.298
132,Waves,Kanye West,3nAq2hCr1oWsIU54tS98pL,0.557,0.586,-4.57,0.0528,0.0681
133,beibs in the trap,Travis Scott,0ESJlaM8CE1jRWaNtwSNj8,0.743,0.571,-6.054,0.24,0.495
134,Do Not Disturb,Drake,2KvHC9z14GSl4YpkNMX384,0.618,0.693,-5.943,0.246,0.454
135,Little Talks,Of Monsters and Men,2ihCaVdNZmnHZWt0fvAM7B,0.445,0.757,-5.177,0.0206,0.421
136,romance361,iann dior,33BCQDhwZyiudb8Mud33tb,0.713,0.632,-7.685,0.0589,0.373
137,20 Min,Lil Uzi Vert,0uxSUdBrJy9Un0EYoBowng,0.773,0.75,-4.009,0.109,0.783
138,Perfect,Yung Pinch,1JmEymqQwLXvCg3sJ7gz0n,0.68,0.542,-8.848,0.26,0.274
139,Stuck In A Dream (feat. Gunna),Lil Mosey,7iHHxY2NLlJRAmlAmC4ahQ,0.748,0.648,-6.445,0.484,0.726
